Category,Age,Gender,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate
Sports/Team Sports/Soccer,18-24,Male,53262,45731,98718,0.38,5.19,00:03:09,2905,228238.6,0.0294
News/Sports News,18-24,Male,42225,36273,78536,0.373,5.15,00:03:09,2234,181847.68,0.0284
Arts & Entertainment/TV & Video/Online Video,18-24,Male,40976,35905,75874,0.356,5.19,00:03:30,2338,196032.85,0.0308
Arts & Entertainment/Celebrities & Entertainment News,18-24,Male,32297,27682,61918,0.376,4.85,00:02:59,1567,125865.73,0.0253
[Life Events] Job Change/Starting New Job Soon,18-24,Male,23830,20875,46060,0.373,4.68,00:03:29,1222,99357.19,0.0265
[Life Events] Job Change/Recently Started New Job,18-24,Male,22607,19535,43749,0.392,4.47,00:03:13,1005,75151.88,0.023
[Life Events] Moving/Recently Moved,18-24,Male,21643,18495,40769,0.363,4.67,00:03:28,1078,85592.09,0.0264
[Life Events] Moving/Moving Soon,18-24,Male,19361,16738,37328,0.389,4.53,00:03:16,871,71013.59,0.0233
Internet & Telecom/Search Engines,18-24,Male,14370,12470,28993,0.409,4.83,00:03:13,660,47054.52,0.0228
Reference/General Reference/Dictionaries & Encyclopedias,18-24,Male,13950,12343,26702,0.336,5.84,00:04:09,919,78547.86,0.0344
Arts & Entertainment/Music & Audio/Urban & Hip-Hop/Rap & Hip-Hop,18-24,Male,12270,10752,22223,0.355,5.23,00:03:41,639,54343.37,0.0288
Food & Drink/Cooking & Recipes,18-24,Male,12207,10382,22628,0.359,5.24,00:03:17,697,55869.73,0.0308
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,18-24,Male,12035,10461,24696,0.369,5.2,00:03:28,589,45042.6,0.0239
Jobs & Education/Education/Colleges & Universities,18-24,Male,11144,9384,23825,0.334,5.24,00:03:34,626,52154.11,0.0263
Games/Computer & Video Games/Shooter Games,18-24,Male,10901,9787,19465,0.374,5.13,00:03:32,702,54183.88,0.0361
Travel & Transportation/Transportation/Air Travel,18-24,Male,9971,8538,19434,0.319,5.81,00:03:49,712,64846.17,0.0366
Games/Roleplaying Games,18-24,Male,9781,8819,17963,0.383,5.13,00:03:16,573,47437.04,0.0319
Arts & Entertainment/Music & Audio/Pop Music,18-24,Male,8775,7648,16369,0.342,5.36,00:03:41,537,46712.18,0.0328
News/Business News/Financial Markets News,18-24,Male,8755,7570,16309,0.28,6.39,00:04:23,711,75883.12,0.0436
Games/Computer & Video Games/Action & Platform Games,18-24,Male,8551,7677,15432,0.379,5.16,00:03:26,503,44466,0.0326
News/Politics,18-24,Male,8464,7000,16738,0.356,5.41,00:03:24,465,39039.84,0.0278
News/Weather,18-24,Male,8320,7202,15724,0.365,5.47,00:03:27,428,35358.64,0.0272
Sports/Combat Sports/Boxing,18-24,Male,8079,6919,14450,0.418,4.75,00:02:46,378,28949.43,0.0262
[Life Events] Purchasing a Home/Purchasing a Home Soon,18-24,Male,7907,6756,15481,0.383,4.67,00:03:24,399,34441.29,0.0258
[Life Events] College Graduation/Recently Graduated,18-24,Male,7434,6215,14720,0.337,5.07,00:03:55,459,36658.02,0.0312
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Reality Shows,18-24,Male,7377,6275,13091,0.367,5.02,00:03:11,393,31975,0.03
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Comedies,18-24,Male,7346,6290,13707,0.355,5.13,00:03:27,425,33623.15,0.031
Jobs & Education/Jobs/Job Listings,18-24,Male,7164,6221,13623,0.362,5.49,00:03:51,416,33493.85,0.0305
Online Communities/Feed Aggregation & Social Bookmarking,18-24,Male,7161,6584,13052,0.281,5.39,00:04:21,490,42338.69,0.0375
Shopping/Apparel/Men's Clothing,18-24,Male,7151,5468,16725,0.33,6.04,00:04:10,414,29620.52,0.0248
Real Estate/Real Estate Listings/Residential Sales,18-24,Male,6892,5819,12608,0.289,6.15,00:03:56,539,50917.6,0.0428
Arts & Entertainment/Comics & Animation/Anime & Manga,18-24,Male,6880,6200,12546,0.4,4.87,00:03:18,330,26057.93,0.0263
